IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
MELITA,112
SASKIA,111
LUCIANA,111
ELFRIEDA,111
DAGMAR,111
CATERINA,111
FEDERICA,110
TRAUTA,110
ZORYANA,110
NAIRA,110
EDELTRUDA,110
YASEMIN,110
MELODY,109
RIMMA,109
SELIN,109
ALEJANDRA,109
FRANZISKA,109
DOINA,108
DAISY,108
MARIAMI,108
MERYEM,108
ELFRIEDE,108
LUDOSŁAWA,108
CELINE,107
ANYA,107
VLADLENA,107
DARIYA,107
LOTTA,107
ANTANINA,107
GERMANA,106
EMINE,106
FLORENCE,106
ALIYA,106
ERICA,105
PAVLINA,105
KSAWERYNA,105
DOBROMIRA,105
MANANA,105
MAAYAN,105
KARIONA,105
GIOVANNA,105
DILARA,105
NATALI,105
NICOLETA,104
MAKKA,104
IVONA,104
LIDWINA,104
ISABELA,104
HADAR,103
IWANNA,103
SORAYA,103
STEFANIYA,103
ILSE,103
JOANA,103
GIZELLA,103
JUSTINA,103
LIDZIYA,103
HASMIK,103
NOAM,103
ALANA,103
RAYANA,102
MONIQUE,102
CHLOÉ,102
ELISE,102
HORTENSJA,102
DAGNY,102
TAMARI,101
ASYA,101
SAWA,101
AHAFIA,101
LILIJA,101
GIORGIA,101
GRYZELDA,101
LECHOSŁAWA,101
ORIT,101
ELLIE,100
JANETTA,100
MICHELE,100
DINARA,100
TALI,99
LALI,99
KLARYSA,99
KATHRYN,99
EFRAT,99
AMINAT,99
GEORGIA,98
INDIA,98
RUBY,98
PETIMAT,98
RADA,98
BÜŞRA,98
ARIELA,97
FREDA,97
SOLOMIYA,97
ROSALIE,97
DERYA,97
AYELET,97
MIEROSŁAWA,97
YING,97
JANETA,97
FELICIA,96
CHANA,96
BRIGIDA,96
JANE,96
IMELDA,96
MAY,96
ORESTA,96
MAI,96
NAAMA,96
ANABELLA,96
VALERIE,95
AMÉLIE,95
MÁRIA,95
DIANE,95
HOLLY,95
ROSITA,95
MYRIAM,95
SAFIYA,94
ELİF,94
YEVHENIYA,94
MARCELLA,94
MATHILDA,94
MICHELA,94
IVETA,94
KLAVDIIA,94
MERI,93
JOANNE,93
MARTIKA,93
ARMINE,93
ANDRZELINA,93
GINA,93
MAKA,92
INBAL,92
KATHLEEN,92
CAROLIN,91
ARIEL,91
CELIA,91
WITALIA,91
LYUDMILA,91
ROSALIA,91
WIOLA,91
NAWOJKA,91
FLAWIA,90
EDEN,90
AUDREY,90
HELIODORA,90
MIŁA,90
AIGERIM,90
BURCU,90
NADZIEŻDA,90
KORALIA,89
KERSTIN,89
VIKTORIJA,89
MARGARETTA,89
KAROLINE,89
ERNESTA,89
ALFONSA,89
EDELGARDA,89
MYLANA,88
MARIELA,88
SUZAN,88
SEVDA,88
CATALEYA,88
YAN,88
BERNADETTE,88
ALISON,88
ILARIA,88
EINAT,88
ANNALIZA,88
MARGIT,87
THUY,87
JING,87
LOUISA,87
MARI,87
ALBA,86
MATILDE,86
TOSIA,86
HANNELORA,86
ZAHRA,86
ADELGUNDA,86
JENIFER,86
ODETTA,86
ŚWIĘTOSŁAWA,86
ARNIKA,86
THEA,86
HADAS,86
YEVGENIYA,86
GIZEM,85
CORINA,85
PHUONG,85
LIOR,85
DOMINICA,85
CHEN,85
ANETTE,85
DALIDA,85
JEKATIERINA,85
ALINE,85
LI,85
DEONIZA,84
CANSU,84
TESSA,84
GAYA,84
YULIANNA,84
ATENA,84
REBECA,84
JARMILA,84
KALIKSTA,84
WIRA,84
YEVDOKIIA,84
ESTELLE,83
THU,83
LIHI,83
SELWINA,83
WIĘCESŁAWA,83
MOR,83
SOFÍA,83
NIKODEMA,83
IVY,83
EBRU,83
NADEZDA,83
BOHDANNA,83
FELICYTAS,83
ELIDA,83
ESMERALDA,83
LUZIE,83
GUDRUN,83
LORETA,83
ZINAJDA,83
DAFNA,82
ELISABETTA,82
ELFRIDA,82
ADELE,82
LÉNA,82
SILVANA,82
RUSŁANA,82
BONIFACJA,81
SASHA,81
ALISHA,81
WENESA,81
AMAL,81
ASTRYDA,81
BALWINA,81
SELINA,81
ALEXA,81
ZAREMA,81
LUANA,81
INBAR,81
ANNA-MARIIA,80
ALEXIS,80
JÚLIA,80
DANISŁAWA,80
LUDMYŁA,80
ZBYSŁAWA,80
MELANIIA,79
JULIET,79
MARLENE,79
LILLIANA,79
SHEILA,79
NADINA,79
SYLVIE,79
ANDRZEJA,79
LUTOSŁAWA,79
YUSTYNA,79
MELINA,78
MORAN,78
GALIA,78
LIYA,78
EDA,78
EMI,78
BAZHENA,78
ŁARISA,77
MELA,77
SERENA,77
CHAJA,77
TANYA,77
MARKHA,77
HIACENTA,77
IAROSLAVA,77
EVGENIA,77
RUZANNA,77
KRZESISŁAWA,77
AALIYAH,77
JOLITA,77
IRA,76
MARGARETHE,76
BOŻYSŁAWA,76
SONYA,76
SHORENA,76
ANABEL,76
LILIANE,76
EMILI,75
HAŁYNA,75
ROMI,75
ELIZABET,75
MASZA,75
DORINA,75
ROZANNA,75
NORBERTA,74
THERESA,74
SIBEL,74
RÓŻAMARIA,74
CATALINA,74
SOPIO,74
SZARLOTTA,74
MIYA,74
BETTY,74
LAETITIA,73
KAYAH,73
INDIRA,73
LUCYLLA,73
FAINA,73
ERIN,73
KATALIN,73
MAKSYMA,73
ANGIELIKA,73
LAWINIA,73
RONIT,73
JAQUELINE,73
ZAIRA,73
SIVAN,72
NOTBURGA,72
LEJLA,72
LEONIŁA,72
LATIKA,72
FREYA,72
CEZARA,72
RANIA,72
GALIT,71
MARŻOLENA,71
TALIA,71
THERESE,71
WALENTINA,71
PRASKOWIA,71
ANKA,71
RIVKA,71
LETIZIA,71
ROXANNE,71
EKA,71
IVA,71
ELEANOR,70
AISZA,70
VERONIQUE,70
ANISA,70
RADOMIŁA,70
MILENIA,70
HONG,70
ZONIA,70
RAFALINA,70
OR,70
GRACIELA,70
FANNY,70
FLORENCJA,70
ROMY,69
ELODIE,69
RINA,69
SENA,69
INOCENTA,69
TANJA,69
FORTUNATA,69
AGATHE,69
LUCYLIA,69
IULIANA,69
ANISJA,69
ANTONELLA,69
GALI,69
NADYA,69
NICOLETTE,69
EZGI,68
RENARDA,68
